,new_title,topic_idx
43,김영남 우리 민족 위상 과시…뜨거운 분위기 이어가길,1
48,적극행정 추진전략 및 성과공유대회 참석한 이낙연 총리,1
49,박대통령 한일 합의에 소녀상 언급없어…선동하면 안돼,1
50,민주 국회의원 재보선 4곳 후보 공모에 7명 신청,1
52,박찬호 현진이 10승 하니깐 생각이 나는데…,0
53,현행 헌법과 다른 점은 ②지방자치·경제민주화 개념 강화,1
54,고군분투 시즌 서재덕 MVP 덕큐리로 활짝 웃다종합,0
55,트럼프 유조선 공격 사소한 일…이란과 충돌우려 속 수위조절,1
56,이희호 여사 청경호 24일로 만료…당분간 경호 유지될 듯,1
57,통일농구 오늘은 친선 남북대결…김정은 관전 가능성,1
58,임도헌 감독 신영석 중심으로 똘똘 뭉쳐 한일전 승리 따냈다,0
61,청 6자회담 틀 완전히 무시하는게 아니다,1
62,대북확성기 방송 전면 재개…접경지 긴장 속 차분종합,1
63,데얀·김치우 OUT 조영욱 IN…서울 과감한 재건 성과...,0
65,문 대통령 북미합의 이행 국제사회와 협력…새시대 위해 헌신,1
66,호날두 노쇼 유벤투스 무책임·거만 비판 수용 어려워,0
67,월드컵 태극전사 산책과 닭갈비로 피로 해소,0
68,북미사일 발사 정부 개성공단 체류인원 500명까지 축소종합,1
69,박대통령 총선 닷새만 첫 평가…평소보다 짧은 6분 발언,1
70,한미 수석대표 협의 위해 출국하는 이도훈,1
71,안철수·천정배 박지원과 회동…입당 삼고초려,1
73,문대통령 아세안·APEC 일정 마치고 오늘 저녁 귀국,1
74,북 2040개국에 12만 명 파견…하루 16시간 강제노동도,1
75,촛불민심 받들어 국정운영…촛불 2돌 맞는 문대통령,1
76,독재 시작했나…네이마르 PSG 회장에 카바니 이적 요구,0
77,아시안게임 만리장성 맞서는 농구 단일팀 이문규 감독...,0
79,한승혁 6⅔이닝 1실점 역투…KIA NC 완파,0
81,박지수 WNBA 코네티컷 상대로 2점·3리바운드 기록,0
82,MLB닷컴·디애슬레틱 류현진 다음 행선지 텍사스 유력,0
83,한국당 가짜뉴스 규제는 개인미디어 통제…입법화 반기,1
84,우상호·박지원 상견례…1당이 내놓아야 양보할건 하겠다,1
86,NBA 로즈 개인 최다 50점 넣고 감격의 눈물,0
87,울산한마음축구대회 개최…여성·노장부 등 40팀 참가,0
88,지역구 후보 342명 재산 10억이상…1위 김병관 2천637억,1
89,박대통령 금주 안보·경제 이중 위기 극복 고삐 죈다,1
92,구자철 발목 부상으로 전력 이탈…아우크스 비상,0
93,정지석·양효진 등 프로배구 FA 37명 공시…대어급 즐비,0
96,한화 4천20일 만의 PS vs 넥센 4년 만의 PO...,0
97,여야 원내대표단 방미 추진…미의회에 한반도 평화 설득,1
98,청 창조센터장 감찰 주장에 감찰대상 아니어서 중단한 사안,1
101,통일차관 내일 이산상봉 시설 개보수 점검차 금강산행,1
103,원조 친박에서 문정부 입각까지…진영 행안장관 후보자,1
106,문 대통령 유엔 사무총장회담…평창 이후 찾아올 봄 고대종합2보,1
107,연세대고려대 대학축구 U리그 2권역서 정면대결,0
108,여야 초선 당선인 연찬회…박관용 다선의원에 순종말라,1
109,북 평양과 각 도에 축구학교 설립…4월 개교,1
111,정부 탈핵정책 비판 문서로 위장한 악성코드 유포돼,1
112,C.팰리스 아스널에 30 완승…이청용 결장,0
114,슈퍼루키 강백호 남은 2경기서 신인 최다 홈런 신기록 도전,0
119,평양정상회담 백화원 영빈관 도착한 문 대통령,1
120,정의당 아베정권 규탄한다,1
121,오신환 국회정상화 진전된 협상 가능…주말전후 회동 조율,1
123,센터 김수지 복근 부상으로 귀국…VNL 3주 차는 13명으로,0
124,북 퍼스트레이디 리설주 9개월만에 공개 행보,1
125,박지원 청 중언론 비판은 선전포고…한중외교 망쳐선 안돼,1
126,아시안게임 경기장 잔디 점검한 김학범 중동팀에 유리한...,0
128,프로배구 새내기 황경민 신인왕 내가 받았으면 좋겠다,0
130,박대통령 지지율 4%…3주째 5% 유지하다 역대 최저치 또 경신종합,1
131,정상회담 D1 김정은 완전한 비핵화 의지 판문점선언에 담기나종합,1
132,LA타임스 현재 다저스 에이스는 커쇼·뷸러 아닌 류현진,0
133,아가메즈·비예나 등 V리그 외국인 선수 대거 입국…KOVO...,0
137,NC 감독교체에도 4연패…유영준 감독대행 데뷔전 패배,0
139,텍사스 투수 마이너 논란의 200탈삼진…기록 밀어주기 눈살,0
140,1보 류현진 한국인 첫 MLB 올스타전 선발로 1이닝...,0
142,나란히 양복 상의 벗고 지휘…승자는 삼성 이상민 감독,0
143,프로농구 선두 DB 최하위 kt 꺾고 10연승 질주,0
145,대북제제 중간점검 ⑤안보리 제재 이후 북반발 일지끝,1
146,파다르 트리플크라운 현대캐피탈 우리카드에 1차전 기선제압,0
148,폭행 혐의로 체포됐던 우리아스 8일 만에 다저스 복귀,0
149,북미정상회담 여야 표심에 이미 반영…부동층 향배엔 촉각,1
150,SUN 첫 야구 국가대표팀 전임감독 선임부터 퇴임까지,0
152,북한인권기록센터 28일 현판식…북 인권 조사업무 시작,1
153,네이마르·메시 브라질아르헨티나 관광 도우미로 나선다,0
156,아시안게임 여자축구 전가을 황금세대 책임감으로 새 역...,0
158,김방훈 자유한국당 제주도당위원장 도지사 출마 선언,1
159,IMO 북 탄도미사일 발사 관련한 통보 없어,1
160,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진,0
162,다저스 부상선수 대거 합류…류현진에게 힘 실을까,0
163,한국 아시아 U18 여자농구 4강에서 중국에 패배,0
164,프로농구 KBL 음주 운전 kt 박철호에 36경기 출전 ...,0
165,NBA 매직 공동 창업자 올랜도에 MLB 구단 유치 추진,0
167,박대통령 취임후 3년간 국민 5천29회 경제 4천203회 언급,1
171,여야 출연연 조직개편 요청…최기영 후보자 살펴보겠다,1
172,문 대통령 헌법기관장들과 미소지으며,1
173,밀워키 간판 옐리치 파울 타구 맞아 무릎 골절…시즌 아웃,0
177,방북한 러시아 외무장관 만나는 김정은,1
178,되살아난 트라우마 롯데 연패에 울고 판정에 울고,0
179,웃지 못한 김승기 감독 오세근 많이 다친 듯…4차전 총력전,0
180,문 대통령 쇼트트랙 최민정 선수 격려,1
181,김연경 벨기에전 완패 훈련 때 보다도 못했다,0
183,국방부 북 한미훈련 위협에 경거망동 중단하라…도발시 응징종합,1
184,NBA 만년 2인자 톰프슨 3점슛 14개 신기록 폭발종합,0
